PID,l,f,h(m),g(mgal) ,FreeAir,Bouguer
P1,5.635,6.3425,89.6,978043.3,-23.9,-33.9
P2,5.045,6.3783,3.6,978077,-17.5,-17.9
P3,5.76,6.4,100.9,978046,-18.9,-30.2
P4,4.5275,6.4167,7.4,978107.2,13.1,12.3
P5,3.3983,6.4467,6,978121.4,26.3,25.6
P6,5.59,6.46,129.8,978049.4,-7.8,-22.3
P7,5.81,6.46,149.7,978043.1,-7.9,-24.6
P8,5.465,6.4808,15.5,978082.2,-10.6,-12.4
P9,3.7,6.5,38,978114.3,27.99,23.74
P10,5.54,6.53,98.8,978063.2,-4.9,-15.9
P11,5.87,6.54,90.2,978064.2,-6.8,-16.9
P12,3.33,6.5833,39,978114.4,26.7,22.3
P13,3.33,6.585,38,978114.2,26.1,21.8
P14,4.9833,6.585,13.9,978108.9,13.4,11.9
P15,5.47,6.59,100.6,978063.2,-5.6,-16.9
P16,5.95,6.59,137.8,978058.4,1.1,-14.3
P17,5.9908,6.6144,230,978040.9,11.5,-14.2
P18,6,6.63,231,978038.8,9.4,-16.5
P19,3.5,6.63,39.3,978115.5,26.9,22.5
P20,6,6.63,231,978038.8,9.4,-16.5
P21,5.4,6.65,84.1,978070.1,-5.1,-14.5
P22,3.07,6.66,43.3,978128.1,40.2,35.3
P23,3.17,6.67,35.4,978123.2,32.6,28.6
P24,6.08,6.68,228.9,978045.6,14.6,-11
P25,4.7108,6.6933,118,978080.3,14.7,1.5
P26,2.9,6.7,46.6,978124.3,36.6,31.4
P27,5.33,6.7,21,978088.8,-6.8,-9.2
P28,3,6.71,55.2,978129,43.7,37.5
P29,3,6.71,55.2,978129,43.7,37.5
P30,3.51,6.71,51.2,978116,29.5,23.8
P31,4.27,6.71,14,978115.6,17.5,16
P32,5.24,6.71,43.3,978092.2,3.2,-1.6
P33,5.0975,6.715,21.1,978103.7,7.8,5.4
P34,4.51,6.72,85.6,978090.4,14.3,4.7
P35,5.79,6.72,135,978073.8,12.9,-2.2
P36,4.45,6.72,44.8,978117.8,29,24
P37,5.7914,6.7267,143.5,978070.9,12.5,-3.5
P38,6.2217,6.7294,397.4,978003.5,23.4,-21.1
P39,4.7,6.73,64,978087.6,4.6,-2.6
P40,4.2,6.73,29.6,978113.1,19.5,16.2
P41,4.35,6.73,46.9,978113.7,25.4,20.1
P42,4.61,6.73,89.9,978081.2,6.2,-3.9
P43,6.12,6.74,363,978016.6,25.6,-15
P44,5.3483,6.745,104.9,978083.2,12.5,0.7
P45,4.15,6.75,23.2,978117.3,21.3,18.7
P46,4.78,6.75,88.1,978083.2,7.2,-2.7
P47,4.89,6.75,77.1,978085.5,6.1,-2.5
P48,5.17,6.75,88.1,978088.8,12.8,3
P49,4.05,6.77,56.7,978117,30.9,24.6
P50,3.21,6.77,61.9,978115.4,30.9,24
P51,4.97,6.77,86.6,978087.5,10.7,1
P52,5.08,6.77,91.7,978084.8,9.5,-0.7
P53,6.23,6.78,382.5,978005.2,19.5,-23.3
P54,3.01,6.79,63.4,978130,45.6,38.5
P55,3.57,6.79,64.3,978118.3,34.2,27
P56,3.96,6.79,57.9,978117,30.8,24.3
P57,3.87,6.82,20.7,978123.8,25.6,23.2
P58,7.46,6.82,465,977999.5,38.4,-13.7
P59,6.2,6.83,322.8,978019.3,14,-22.1
P60,4.86,6.84,128.3,978077.6,12.1,-2.3
P61,5.78,6.84,72.5,978091,8.3,0.2
P62,3.72,6.85,53.3,978125.2,36.3,30.4
P63,3.93,6.85,107.9,978105,32.9,20.9
P64,3.8,6.86,45.1,978126.9,35.3,30.3
P65,6.25,6.86,125.6,978069.5,2.8,-11.3
P66,3.2,6.87,39,978123,29.3,25
P67,3.03,6.9,135.9,978109.3,44.8,29.6
P68,3.67,6.92,107.6,978110.7,37.1,25.1
P69,5.76,6.92,176.8,978072.5,20.3,0.5
P70,3.94,6.94,59.7,978117.2,28.4,21.7
P71,4.86,6.94,193.2,978066.5,18.9,-2.7
P72,3.22,6.95,68.9,978114.3,28.1,20.4
P73,6.26,6.95,53.6,978090.8,-0.1,-6.1
P74,3.04,6.98,46.6,978121.6,27.9,22.7
P75,3.69,7.01,104.2,978115.6,39,27.3
P76,5.71,7.01,230.1,978062.1,24.3,-1.4
P77,6.26,7.03,108.5,978078.6,2.8,-9.3
P78,4.85,7.03,196.6,978065.4,16.9,-5.1
P79,6.32,7.03,93.1,978088.7,8.2,-2.2
P80,6.35,7.03,84.9,978088.2,5.2,-4.3
P81,6.4,7.03,82.1,978093,9.1,-0.1
P82,6.43,7.03,65.1,978096.7,7.6,0.3
P83,3.26,7.04,56.1,978106.9,14.8,8.5
P84,6.3,7.04,172.6,978070.6,14.5,-4.8
P85,6.5,7.04,52.2,978099.2,5.9,0.1
P86,3.07,7.05,69.5,978111.9,23.7,15.9
P87,6.27,7.05,214,978061.6,18,-6
P88,6.53,7.05,41.4,978103.4,6.6,1.9
P89,6.55,7.05,42.9,978104.9,8.6,3.8
P90,6.25,7.06,194.7,978065,15.3,-6.5
P91,3.91,7.07,64,978112.4,22.1,14.9
P92,3.15,7.1,108.2,978105.2,27.8,15.7
P93,5.67,7.1,263.7,978066.8,37.4,7.9
P94,3.72,7.1,94.8,978115.8,34.3,23.7
P95,3.22,7.12,102.4,978107.2,27.6,16.1
P96,4.75,7.15,225.9,978067.4,25.3,0
P97,3.39,7.16,137.5,978102.8,33.1,17.7
P98,6.25,7.16,207.5,978062.4,14.4,-8.8
P99,3.88,7.16,125.9,978101.4,28.2,14.1
P100,3.35,7.18,100,978112.5,30.8,19.7
P101,3.47,7.19,163.1,978099.1,36.7,18.5
P102,3.47,7.19,165.8,978099,37.4,18.9
P103,3.79,7.2,93.3,978111,26.8,16.4
P104,4.68,7.2,220.4,978072.1,27.2,2.5
P105,5.62,7.24,277.6,978055.3,27.1,-4
P106,5.25,7.25,329.5,978050.8,38.4,1.5
P107,5.52,7.25,314.7,978048.3,31.4,-3.8
P108,6.25,7.25,278.3,978055.7,27.5,-3.6
P109,3.85,7.25,127.4,978104.6,29.9,15.6
